chw_id,parent_id,with_errors,total_assessments,percent_without_errors
c437cf4c-d7d6-4758-b115-3285e87bd5b3,5957af84-cc24-4cd1-96f2-9ba17f8b30cd,205,407,49.63
a0fcba5a-2a27-4f2d-9755-09418c5ed7cc,97098475271077c8491974685dd1de34,84,104,19.23
f300fcda-025b-435b-bc22-456fbb384d44,4292912a-36dc-4a32-983b-a9a9a0426af8,93,117,20.51
fda753c1c37ef32fba0138a4c78566dd,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,35,50,30.00
527e1752-786a-431a-8519-9967e4393b85,b16985ff-7875-4ae7-8633-c15b01ed00e2,65,96,32.29
cb611c81-e28f-46cd-811f-ebd99fe95447,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,9,24,62.50
4987d9a0-2574-4b17-8220-d5e01e285e0d,4eae3332-26da-4775-9e74-5cb0a9d1d79e,298,347,14.12
b08165f4-b1fc-4073-9504-94bc9cff3f83,97098475271077c8491974685dd16d46,210,227,7.49
db91e797f2ce030419456e90ab7a075c,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,17,32,46.87
db91e797f2ce030419456e90ab7970b0,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,19,41,53.66
70111c4d-310f-4703-b3a7-abfb6e3289ee,37e61a21-20b8-4d74-b823-ab7bb822daaf,66,81,18.52
52f3f5e5-b36e-4127-bd0a-2800930d1fa4,3d2d7ee1f34a416f6bc94ada35a9dd2e,126,349,63.90
e1e152ed-7286-457a-a3a5-a3d6648f8ba8,174dba76-2031-4cfa-bc40-84116e10195f,217,271,19.93
69bccd29-9e70-4219-b522-36b889161ec4,968bff34-60bc-4d7d-b8e8-a65ece0f3e99,207,334,38.02
c89bec61-aaed-49be-8caf-4518924922ea,17273308-c79a-4f6d-9d1c-e723ccead463,177,227,22.03
fbb1b627-9123-4a51-a0fc-1433f70d7ca5,74a7f78eef4f8baa9de4e11cd2a4c032,245,340,27.94
ed5e6b74-f725-4e67-8037-8db50a5a56e3,7dca9cfd-562b-4e80-8abd-35082c632d7b,208,241,13.69
08b100c9-9edb-45ee-b9ad-bf5b8542b905,7031ab39-988a-4829-9e29-a36461d44275,91,106,14.15
6ef798d5-1f98-4536-9f6d-8efc80893ae2,f5666a72-673c-4442-a192-4e484af65653,154,190,18.95
5e33ea469777ee741e6fda11dcf60c75,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,20,34,41.18
846c66ec-8e69-4fd0-b2dd-476955e1a909,bb4ba03c-8208-47ba-81f1-78a92a0fbf02,126,169,25.44
de9802d4-8f38-447b-ae5a-bfd7aa51712b,3d2d7ee1f34a416f6bc94ada35aa188f,331,776,57.35
75f106b1-ad2d-4cf3-b040-6806fb38ceb1,7f9e424a-13f8-46ca-a5f1-9d62a355cace,299,346,13.58
3f0fce86e571a1275c338749fb1be226,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,9,11,18.18
cd4ed4c4-7054-4f4a-b854-2c7322798481,8ad37377-c331-4e13-9a5d-550d566f75ed,189,211,10.43
db91e797f2ce030419456e90ab78b01d,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,12,16,25.00
36bbde76d9ed4f26c633d5c9600dded0,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,31,91,65.93
fda753c1c37ef32fba0138a4c7940cb4,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,9,41,78.05
fda753c1c37ef32fba0138a4c7c3ab05,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,22,51,56.86
53e6777d-9fb9-4730-8f7b-0dbf37b33c21,74a7f78eef4f8baa9de4e11cd239372e,63,84,25.00
7180042d-3a8a-46b0-9d2c-94bc2cb67367,cb21e9e0-660a-4eab-95d6-80559e149cfc,178,314,43.31
3f0fce86e571a1275c338749fb1c259a,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,9,39,76.92
